"hgy_external_id","hyrox_official_name","final_classification","matched_location_id","matched_location_slug","canonical_facility_url","official_site_status","canonical_name","address","postal_code","prefecture","city","address_verification_status","latitude","longitude","coordinate_confidence","brand_resolution","proposed_brand_id","proposed_brand_name","proposed_brand_slug","proposed_slug","proposed_location_type","match_method","reasons","conflicts","source_authorities","manual_review_required"
"HGY_QK799RP2OcY1gOAl2xwpkHa4b","MUSCLE GATE HOTEL GYM BOUTIQUE Powered by GOLD`S GYM","NEW_LOCATION_NEEDS_REVIEW","","","https://www.musclegate-hotelgymboutique.com/","verified","MUSCLE GATE HOTEL GYM BOUTIQUE Powered by GOLD`S GYM","542-0085, 大阪府大阪市, 中央区心斎橋筋2－5－15　クロスホテル大阪5F","542-0085","大阪府","大阪府大阪市","source_only","34.6699179","135.502052","high","EXISTING_BRAND_MATCH","dd9e21fe-f2a1-4728-92f8-8c89fa83931e","Gold's Gym","golds-gym","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_u1jEfMUhWzm4UY0kr23bbloXw","MYFITNESSアスリートハウス","NEW_LOCATION_NEEDS_REVIEW","","","","missing","MYFITNESSアスリートハウス","790-0813, 愛媛県松山市, 萱町3丁目4-9","790-0813","愛媛県","松山市","postal_authority_resolved","33.8472143","132.7568405","medium","INDEPENDENT_FACILITY","","MYFITNESSアスリートハウス","myfitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder | postal address lookup","true"
"HGY_xC6UC9Za5P4gAkSZBNF8JEHOh","Nack 5 Stadium","NEW_LOCATION_NEEDS_REVIEW","","","","missing","Nack 5 Stadium","3300803, Saitama, 4 Chome Takahanacho, Omiya Ward,","3300803","埼玉県","Saitama","source_only","35.9189126","139.6318202","medium","INDEPENDENT_FACILITY","","Nack 5 Stadium","nack-5-stadium","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_4wzLJEobhMazi7FA0AThO0VCo","NIG Training Club","NEW_LOCATION_NEEDS_REVIEW","","","https://hyrox.nigh.biz","unavailable","NIG Training Club","880-0925, 宮崎市, 2042-12 Hongo Kitakata","880-0925","宮崎県","宮崎市","postal_authority_resolved","31.876127091330602","131.42712866040998","medium","INDEPENDENT_FACILITY","","NIG Training Club","nig-training-club","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website could not be verified live","HYROX governing-body Training Finder | postal address lookup","true"
"HGY_w8GnFtzgPzHOTZfWMBGzdEtoC","NOTA GYM 西京極店","NEW_LOCATION_READY","","","https://nota-gym.com/","verified","NOTA GYM 西京極店","615-0851, 京都市, 京都市右京区西京極西池田町9番地4 コスミック西京極2階","615-0851","京都府","京都市右京区","postal_authority_resolved","34.9925695","135.7195654","medium","NEW_BRAND_CANDIDATE","","NOTA GYM","nota-gym","nota-gym-6150851","fitness_studio","official-site-name-address-identity","HYROX governing-body Training Finder record has a stable HGY identity | Facility official website confirms the facility identity and address signal | Postal authority resolves prefecture and city","","HYROX governing-body Training Finder | facility official website | postal address lookup","false"
"HGY_h8B3zjgLhoVELa3YhExLIEuxq","OTF MACHIDA","NEW_LOCATION_NEEDS_REVIEW","","","","missing","OTF MACHIDA","194-0022, Machida-shi, Morino 1-19-20, Odakyu Bus Machida Bldg. B1F","194-0022","","Machida-shi","source_only","35.5445815","139.4448196","medium","NEW_BRAND_CANDIDATE","","Orangetheory Fitness","orangetheory-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_LofMB67LwXKWbb4m2xQmqsqMD","OTF URAWA","NEW_LOCATION_NEEDS_REVIEW","","","","missing","OTF URAWA","330-0062, saitama, nakamachi 1bankan 1F  urawaku nakachou 1-3-10","330-0062","埼玉県","saitama","source_only","35.8598225","139.6550075","medium","NEW_BRAND_CANDIDATE","","Orangetheory Fitness","orangetheory-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_GrguErmIvNituRVHMp4XMrzhZ","P.U LAB","NEW_LOCATION_NEEDS_REVIEW","","","","missing","P.U LAB","534-0025, 大阪市都島区, 片町2-6-11-602","534-0025","","大阪市都島区","source_only","34.6959761","135.5311486","medium","INDEPENDENT_FACILITY","","P.U LAB","p-u-lab","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_vKVViER7spGFVzDED6QfEMuP5","PATRIOT MOTION CLUB","NEW_LOCATION_NEEDS_REVIEW","","","","missing","PATRIOT MOTION CLUB","311-3115, Ibaraki-machi, Higashiibaraki-gun, Ibaraki, 1680-6 Maeda","311-3115","茨城県","Ibaraki-machi, Higashiibaraki-gun, Ibaraki","source_only","36.312346","140.4377523","medium","INDEPENDENT_FACILITY","","PATRIOT MOTION CLUB","patriot-motion-club","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_9IKMUsTNBlBvTvkWFddMxqsEg","Personalgym VITA","NEW_LOCATION_NEEDS_REVIEW","","","https://vita-e.jp/","verified","Personalgym VITA","4440858, Okazaki-shi, 2F,2-7-16,kamimutsuna","4440858","","Okazaki-shi","source_only","34.9499922","137.1544904","high","INDEPENDENT_FACILITY","","Personalgym VITA","personalgym-vita","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
