"hgy_external_id","hyrox_official_name","name","slug","brand_ref","brand_resolution","postal_code","prefecture","city","address_line","latitude","longitude","official_url","source_url","location_type","last_verified_at","stale_at","collision_status","candidate_hash"
"HGY_Em6Ykdm6hSAiCWilyjc9Wdiqk","株式会社INSPA","株式会社INSPA","inspa-2210054","brand:inspa","NEW_SINGLE_LOCATION_BRAND","2210054","神奈川県","横浜市神奈川区","221-0054, 横浜市, 神奈川区山内町15-2","35.4687914","139.6392231","https://www.inspa.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_Em6Ykdm6hSAiCWilyjc9Wdiqk","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","38431761b056bae8e979434f3646578c02746e3cfc6667eb731fcf9e8024f563"
"HGY_fd08dzI687maGklD0PMhGHHZ7","オレンジセオリーフィットネス東久留米","オレンジセオリーフィットネス東久留米","hyrox-training-club-2030014","brand:orangetheory-fitness","NEW_CHAIN_BRAND","2030014","東京都","東久留米市","2030014, Higashikurume, 1-15-2F, HIgashi-honcho","35.7625971","139.5337272","https://www.orangetheoryfitness.co.jp/higashikurume/","https://hyrox-training-finder.hyrox.com/gym/HGY_fd08dzI687maGklD0PMhGHHZ7","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","55ec0033523d735f0b9d3d4bb57c2236af8ed84cf3f95eb35c4d83e545b859a8"
"HGY_GjdVGIybcOjSedJ9IQ6fDsZPv","CrossFit Kamuy","CrossFit Kamuy","crossfit-kamuy-2200073","brand:crossfit-kamuy","NEW_SINGLE_LOCATION_BRAND","2200073","神奈川県","横浜市西区","220-0073, Yokohama, 2-11-9 Okano Nishiku","35.4597779","139.6113729","https://crossfitkamuy.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_GjdVGIybcOjSedJ9IQ6fDsZPv","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","a7968b62fd88902e1d2b03928a6575e7bb7c44a5f124a5d7552402fc254fbf74"
"HGY_GUa4TuelZVO6XiKTfVGi9MmkF","オレンジセオリーフィットネス 八王子オーパ","オレンジセオリーフィットネス 八王子オーパ","hyrox-training-club-1920083","brand:orangetheory-fitness","NEW_CHAIN_BRAND","1920083","東京都","八王子市","192-0083, Hachioji, Hachioji OPA 6F, 1-12 Asahi-cho","35.6550919","139.3380743","https://www.orangetheoryfitness.co.jp/hachioji/","https://hyrox-training-finder.hyrox.com/gym/HGY_GUa4TuelZVO6XiKTfVGi9MmkF","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","f022841da2ded461218418e4cddbe6843428b05ad8f3d3022a16961fae091ebd"
"HGY_Gytouu2Jl1EjSpgwMrT4tlmkc","オレンジセオリーフィットネス青葉台","オレンジセオリーフィットネス青葉台","hyrox-training-club-2270062","brand:orangetheory-fitness","NEW_CHAIN_BRAND","2270062","神奈川県","横浜市青葉区","2270062, Yokohama, 2-8-20-2F, Aobadai, Aoba","35.5436262","139.5149577","https://www.orangetheoryfitness.co.jp/aobadai/","https://hyrox-training-finder.hyrox.com/gym/HGY_Gytouu2Jl1EjSpgwMrT4tlmkc","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","fb59dffb864227ca79731e55bb7cc3657f85a2560edcff4ba81d8738417edd56"
"HGY_h8B3zjgLhoVELa3YhExLIEuxq","OTF MACHIDA","オレンジセオリーフィットネス 町田","hyrox-training-club-1940022","brand:orangetheory-fitness","NEW_CHAIN_BRAND","1940022","東京都","町田市","194-0022, Machida-shi, Morino 1-19-20, Odakyu Bus Machida Bldg. B1F","35.5445815","139.4448196","https://www.orangetheoryfitness.co.jp/machida/","https://hyrox-training-finder.hyrox.com/gym/HGY_h8B3zjgLhoVELa3YhExLIEuxq","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","b71d4d9d5c4a2854a2de458b79f1c22234beba76d81c80ca6c7fe80303128cfd"
"HGY_hh2gFINyLgIbu8P1uFb9ChYf1","Beequick Fitness　Tateyama","Beequick Fitness　Tateyama","beequick-fitness-tateyama","brand:beequick-fitness","EXISTING_BRAND_REUSE","2940047","千葉県","館山市","294-0047, Chiba-ken Tateyama-shi, Yawata 545-1","35.0073582","139.8626973","https://www.beequick.jp/location/tateyama/","https://hyrox-training-finder.hyrox.com/gym/HGY_hh2gFINyLgIbu8P1uFb9ChYf1","fitness_club","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","bc68d6cf6dd1f1d3a99272bfbcda7f3adea18e1c1b450c157955a49652d7a7ee"
"HGY_hh8OAkaxSb7jABGYdA8MH6mgA","エニタイムフィットネス西町店","エニタイムフィットネス 西町店","hyrox-training-club-0630062","brand:anytime-fitness","EXISTING_BRAND_REUSE","0630062","北海道","札幌市西区","0630062, 札幌市, 西区西町南2-1-16","43.07721","141.2916096","https://www.anytimefitness.co.jp/nishimachi/","https://hyrox-training-finder.hyrox.com/gym/HGY_hh8OAkaxSb7jABGYdA8MH6mgA","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","2c4bead64a8dd25b9989f91d21e5be721393153c76a9ac7eeac77cb165f8b449"
"HGY_HxEZO63b6wj0lpmQE74SHJiW7","ジムフィールド豊中スタジオ","ジムフィールド 豊中スタジオ","hyrox-training-club-5610807","brand:gym-field","NEW_CHAIN_BRAND","5610807","大阪府","豊中市","5610807, 大阪府豊中市, 原田中1－9－7","34.7711463","135.4586142","https://www.gym-field.com/studio/","https://hyrox-training-finder.hyrox.com/gym/HGY_HxEZO63b6wj0lpmQE74SHJiW7","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","eb752c187fb0f1c5444be7f7f7ae4108307f13e5a5c6eb96263e2f931be2de2e"
"HGY_i25m4SPcDFBD8fDB1UFmCNZvP","オレンジセオリーフィットネス本八幡","オレンジセオリーフィットネス本八幡","hyrox-training-club-2720021","brand:orangetheory-fitness","NEW_CHAIN_BRAND","2720021","千葉県","市川市","272-0021, Ichikawa-shi, 2-5-8-2F, Yawata","35.7227194","139.9267063","https://www.orangetheoryfitness.co.jp/motoyawata/","https://hyrox-training-finder.hyrox.com/gym/HGY_i25m4SPcDFBD8fDB1UFmCNZvP","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","ed77329272b231c3ab157e8c24a2c994966bb3f9b0825ad96241c7ba826367cc"
